Unit_Code,Average_of_Recreation_Visits_2008x2012,Average_crashes_per_year_2008x2012,Safety_Studies
ALFL,3232,,
AMIS,1786653,,
ARCH,1010169,,
AZRU,40046,,
BAND,199860,,
BEOL,26982,,
BIBE,350533,12.6,
BICA,217861,,
BITH,121523,2,
BLCA,173777,,
BRCA,1245308,11,1
CACH,829240,,
CAGR,73680,,
CANY,447118,,
CARE,645372,,1
CAVE,401520,,
CAVO,47952,,
CEBR,536231,,1
CHAM,171624,,
CHCU,37400,,
CHIC,1284382,10.4,1
CHIR,50208,,
COLM,422954,10.75,2
CORO,116868,1,
CURE,943448,,
DETO,395145,,
DINO,223963,,
ELMA,118610,,
ELMO,47826,,
FLFO,62117,,
FOBO,9124,,
FOBU,17951,,
FODA,43361,,
FOLA,54093,,
FOUN,9934,,
GICL,33722,,
GLAC,2011004,77.4,1
GLCA,2072893,26.2,
GOSP,43069,,
GRCA,4376260,180.6,1
GRKO,19239,,
GRSA,276375,,
GRTE,2605627,13.4,7
GUMO,173341,,
HOVE,26644,,
HUTR,81018,,
JODR,1161530,1,
LAMR,815199,1,
LIBI,312900,,
LYJO,102990,,
MEVE,544545,25.2,2
MOCA,562562,,
NABR,91946,,
NAVA,77669,,
ORPI,250621,,
PAAL,34990,,
PAIS,601506,12,
PECO,38106,,
PEFO,623793,1,
PETR,114965,1,
PISP,53771,,
RABR,96211,,
RIGR,1045,,
ROMO,2988419,92.2,
SAAN,1071680,,
SAGU,665263,11.75,2
SAND,4127,,
SAPU,32210,,
SUCR,183735,,
TICA,119645,,
TONT,57978,,
TUMA,38896,,
TUZI,102165,,
WABA,11854,,
WACA,118487,,
WHSA,451382,,
WUPA,222211,,
YELL,3368801,399.4,1
ZION,2778128,41.5,1
